

=== New Entry ===
Total CO2,95016.93
Total NOX,551.64

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Marrakech,405.84636468007545,2.0707328386255983
Budapest,404.95793294231305,2.1665872625783065
Stuttgart,372.9103701126643,2.03489059249332
Prague,367.43277358405874,1.9790989520330409

Emissions by Haul Type:
Haul,CO2,NOX
Long-haul flight,48465.94027345273,290.30125701517625
Medium-haul flight,17717.82806964561,98.81910703551875
Short-haul flight,28833.164483829267,162.5227638338668

Emissions by Aircraft Type:
Plane,CO2,NOX
b77w,18278.58051638281,141.12850346107246
b738,17841.765263399677,98.81443661244303
a320,13400.215070924063,75.2896592710055
a321,6867.860736653559,50.465942451318725
b772,5732.63997478357,43.61802220415739
a333,5064.910366085739,27.504430951858257
a319,4667.1240573547475,19.437850591503555
a359,4029.460991912115,17.270764581527654
a20n,3723.4156932265096,18.142269139028123
a332,3472.36382472801,17.22412199632928
b789,3001.473130756721,12.872870496461237
e190,1507.3611832347874,6.5247761305280765
b752,1182.5968384478826,2.728940860351643
a388,1168.887723958693,2.1168636214639323
b737,1012.7694016009127,5.806906205168589
a343,974.967596701819,2.285873373102642
e195,947.3040505079185,4.455144098925957
b744,544.1026051309395,0.9688140124890978
b748,427.7494808514224,0.6448674391297144
b734,424.9306600784028,1.8467984472199854
b788,303.8942612366156,1.05517306810708
c550,237.93062261746414,0.6529448492013915
e75l,204.6287763532307,0.7871540221684891


=== New Entry ===
Total CO2,95016.93
Total NOX,551.64

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,8887.456713293112,53.833172276884696
London,6872.425754677763,39.50140610176197
Istanbul,5108.79259973136,33.48683171518523
Singapore,3990.9818208123033,24.02907252529042
Bangkok,3409.78426711877,21.078555556063588
Paris,3192.1772747313744,19.04521946622091
Hong Kong,3162.975227633696,20.94561694126964
 Frankfurt,3162.045983411362,19.0848670498234
Amsterdam,2641.6934175803253,16.473629131050014
Madrid,2014.4743524106464,10.746931375399736
Lisbon,1941.7611749217735,10.283809604875577
Zurich,1661.1707032078066,8.959620735040374
Barcelona,1594.7355688840655,9.135458630977006
Taipei,1567.966081702389,10.653066438507059
Ezeiza,1561.1377238190364,10.090557788199066
Dublin,1479.3171952425328,8.270785389181832
Moscow,1283.4949882550359,7.404282824611852
Seoul,1195.4935139655836,9.41878384073947
Milan,1069.3484884718348,6.21992886568816
Helsinki,1047.5822355336384,4.88737441722844
Munich,1035.3947717341282,4.970323330030385
Tenerife Island,901.6571910846118,4.223999590946095
Rome,900.56493493033,4.789480433029513
Vienna,875.947868491229,4.607152196103354
Warsaw,863.6811851812159,4.225397770901886
Copenhagen,853.1736852511056,5.282740854990654
Brussels,805.3739045632618,4.4515367737608
Berlin,801.7022628147672,4.550101253153264
Stockholm,767.3611227970886,4.248229582058406
Port Louis,765.9744812417409,6.05657161266971
Gran Canaria Island,670.0519341730802,3.869336731819892
Geneva,662.2906908610156,3.7962696860384844
Zaragoza,649.6811372674673,4.834779459603361
Tokyo,608.251980611658,4.3058802169031924
Cape Town,600.240280503227,3.532543827901136
Marseille,599.9391439707261,3.974059744550387
Porto,589.8092598279305,3.0985478559410646
Manchester,563.5250780254743,3.1772648124319387
Athens,560.9356130154998,3.467527052532432
Dusseldorf,521.3272564103953,2.903180106493754
Santiago,513.4733413910127,3.2807237807614835
Malaga,511.40271064797355,2.8143224054806035
Kyiv,484.97992028226963,2.521612342748527
Johannesburg,442.64276503485837,2.4713111119333036
Doha,436.4533936798083,2.656239935869629
St Denis,413.8462125891245,3.2660774853698165
Marrakech,405.84636468007545,2.0707328386255983
Budapest,404.95793294231305,2.1665872625783065
Stuttgart,372.9103701126643,2.03489059249332
Prague,367.43277358405874,1.9790989520330409

Emissions by Haul Type:
Haul,CO2,NOX
Long-haul flight,48465.94027345273,290.30125701517625
Medium-haul flight,17717.82806964561,98.81910703551875
Short-haul flight,28833.164483829267,162.5227638338668

Emissions by Aircraft Type:
Plane,CO2,NOX
b77w,18278.58051638281,141.12850346107246
b738,17841.765263399677,98.81443661244303
a320,13400.215070924063,75.2896592710055
a321,6867.860736653559,50.465942451318725
b772,5732.63997478357,43.61802220415739
a333,5064.910366085739,27.504430951858257
a319,4667.1240573547475,19.437850591503555
a359,4029.460991912115,17.270764581527654
a20n,3723.4156932265096,18.142269139028123
a332,3472.36382472801,17.22412199632928
b789,3001.473130756721,12.872870496461237
e190,1507.3611832347874,6.5247761305280765
b752,1182.5968384478826,2.728940860351643
a388,1168.887723958693,2.1168636214639323
b737,1012.7694016009127,5.806906205168589
a343,974.967596701819,2.285873373102642
e195,947.3040505079185,4.455144098925957
b744,544.1026051309395,0.9688140124890978
b748,427.7494808514224,0.6448674391297144
b734,424.9306600784028,1.8467984472199854
b788,303.8942612366156,1.05517306810708
c550,237.93062261746414,0.6529448492013915
e75l,204.6287763532307,0.7871540221684891


=== New Entry ===
Total CO2,95016.93
Total NOX,551.64

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,8887.456713293112,53.833172276884696
London,6872.425754677763,39.50140610176197
Istanbul,5108.79259973136,33.48683171518523
Singapore,3990.9818208123033,24.02907252529042
Bangkok,3409.78426711877,21.078555556063588
Paris,3192.1772747313744,19.04521946622091
Hong Kong,3162.975227633696,20.94561694126964
 Frankfurt,3162.045983411362,19.0848670498234
Amsterdam,2641.6934175803253,16.473629131050014
Madrid,2014.4743524106464,10.746931375399736
Lisbon,1941.7611749217735,10.283809604875577
Zurich,1661.1707032078066,8.959620735040374
Barcelona,1594.7355688840655,9.135458630977006
Taipei,1567.966081702389,10.653066438507059
Ezeiza,1561.1377238190364,10.090557788199066
Dublin,1479.3171952425328,8.270785389181832
Moscow,1283.4949882550359,7.404282824611852
Seoul,1195.4935139655836,9.41878384073947
Milan,1069.3484884718348,6.21992886568816
Helsinki,1047.5822355336384,4.88737441722844
Munich,1035.3947717341282,4.970323330030385
Tenerife Island,901.6571910846118,4.223999590946095
Rome,900.56493493033,4.789480433029513
Vienna,875.947868491229,4.607152196103354
Warsaw,863.6811851812159,4.225397770901886
Copenhagen,853.1736852511056,5.282740854990654
Brussels,805.3739045632618,4.4515367737608
Berlin,801.7022628147672,4.550101253153264
Stockholm,767.3611227970886,4.248229582058406
Port Louis,765.9744812417409,6.05657161266971
Gran Canaria Island,670.0519341730802,3.869336731819892
Geneva,662.2906908610156,3.7962696860384844
Zaragoza,649.6811372674673,4.834779459603361
Tokyo,608.251980611658,4.3058802169031924
Cape Town,600.240280503227,3.532543827901136
Marseille,599.9391439707261,3.974059744550387
Porto,589.8092598279305,3.0985478559410646
Manchester,563.5250780254743,3.1772648124319387
Athens,560.9356130154998,3.467527052532432
Dusseldorf,521.3272564103953,2.903180106493754
Santiago,513.4733413910127,3.2807237807614835
Malaga,511.40271064797355,2.8143224054806035
Kyiv,484.97992028226963,2.521612342748527
Johannesburg,442.64276503485837,2.4713111119333036
Doha,436.4533936798083,2.656239935869629
St Denis,413.8462125891245,3.2660774853698165
Marrakech,405.84636468007545,2.0707328386255983
Budapest,404.95793294231305,2.1665872625783065
Stuttgart,372.9103701126643,2.03489059249332
Prague,367.43277358405874,1.9790989520330409

Emissions by Haul Type:
Haul,CO2,NOX
Long-haul flight,48465.94027345273,290.30125701517625
Medium-haul flight,17717.82806964561,98.81910703551875
Short-haul flight,28833.164483829267,162.5227638338668

Emissions by Aircraft Type:
Plane,CO2,NOX
b77w,18278.58051638281,141.12850346107246
b738,17841.765263399677,98.81443661244303
a320,13400.215070924063,75.2896592710055
a321,6867.860736653559,50.465942451318725
b772,5732.63997478357,43.61802220415739
a333,5064.910366085739,27.504430951858257
a319,4667.1240573547475,19.437850591503555
a359,4029.460991912115,17.270764581527654
a20n,3723.4156932265096,18.142269139028123
a332,3472.36382472801,17.22412199632928
b789,3001.473130756721,12.872870496461237
e190,1507.3611832347874,6.5247761305280765
b752,1182.5968384478826,2.728940860351643
a388,1168.887723958693,2.1168636214639323
b737,1012.7694016009127,5.806906205168589
a343,974.967596701819,2.285873373102642
e195,947.3040505079185,4.455144098925957
b744,544.1026051309395,0.9688140124890978
b748,427.7494808514224,0.6448674391297144
b734,424.9306600784028,1.8467984472199854
b788,303.8942612366156,1.05517306810708
c550,237.93062261746414,0.6529448492013915
e75l,204.6287763532307,0.7871540221684891


=== New Entry ===
Total CO2,95016.93
Total NOX,551.64

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,8887.456713293112,53.833172276884696
London,6872.425754677763,39.50140610176197
Istanbul,5108.79259973136,33.48683171518523
Singapore,3990.9818208123033,24.02907252529042
Bangkok,3409.78426711877,21.078555556063588
Paris,3192.1772747313744,19.04521946622091
Hong Kong,3162.975227633696,20.94561694126964
 Frankfurt,3162.045983411362,19.0848670498234
Amsterdam,2641.6934175803253,16.473629131050014
Madrid,2014.4743524106464,10.746931375399736
Lisbon,1941.7611749217735,10.283809604875577
Zurich,1661.1707032078066,8.959620735040374
Barcelona,1594.7355688840655,9.135458630977006
Taipei,1567.966081702389,10.653066438507059
Ezeiza,1561.1377238190364,10.090557788199066
Dublin,1479.3171952425328,8.270785389181832
Moscow,1283.4949882550359,7.404282824611852
Seoul,1195.4935139655836,9.41878384073947
Milan,1069.3484884718348,6.21992886568816
Helsinki,1047.5822355336384,4.88737441722844
Munich,1035.3947717341282,4.970323330030385
Tenerife Island,901.6571910846118,4.223999590946095
Rome,900.56493493033,4.789480433029513
Vienna,875.947868491229,4.607152196103354
Warsaw,863.6811851812159,4.225397770901886
Copenhagen,853.1736852511056,5.282740854990654
Brussels,805.3739045632618,4.4515367737608
Berlin,801.7022628147672,4.550101253153264
Stockholm,767.3611227970886,4.248229582058406
Port Louis,765.9744812417409,6.05657161266971
Gran Canaria Island,670.0519341730802,3.869336731819892
Geneva,662.2906908610156,3.7962696860384844
Zaragoza,649.6811372674673,4.834779459603361
Tokyo,608.251980611658,4.3058802169031924
Cape Town,600.240280503227,3.532543827901136
Marseille,599.9391439707261,3.974059744550387
Porto,589.8092598279305,3.0985478559410646
Manchester,563.5250780254743,3.1772648124319387
Athens,560.9356130154998,3.467527052532432
Dusseldorf,521.3272564103953,2.903180106493754
Santiago,513.4733413910127,3.2807237807614835
Malaga,511.40271064797355,2.8143224054806035
Kyiv,484.97992028226963,2.521612342748527
Johannesburg,442.64276503485837,2.4713111119333036
Doha,436.4533936798083,2.656239935869629
St Denis,413.8462125891245,3.2660774853698165
Marrakech,405.84636468007545,2.0707328386255983
Budapest,404.95793294231305,2.1665872625783065
Stuttgart,372.9103701126643,2.03489059249332
Prague,367.43277358405874,1.9790989520330409

Emissions by Haul Type:
Haul,CO2,NOX
Long-haul flight,48465.94027345273,290.30125701517625
Medium-haul flight,17717.82806964561,98.81910703551875
Short-haul flight,28833.164483829267,162.5227638338668

Emissions by Aircraft Type:
Plane,CO2,NOX
b77w,18278.58051638281,141.12850346107246
b738,17841.765263399677,98.81443661244303
a320,13400.215070924063,75.2896592710055
a321,6867.860736653559,50.465942451318725
b772,5732.63997478357,43.61802220415739
a333,5064.910366085739,27.504430951858257
a319,4667.1240573547475,19.437850591503555
a359,4029.460991912115,17.270764581527654
a20n,3723.4156932265096,18.142269139028123
a332,3472.36382472801,17.22412199632928
b789,3001.473130756721,12.872870496461237
e190,1507.3611832347874,6.5247761305280765
b752,1182.5968384478826,2.728940860351643
a388,1168.887723958693,2.1168636214639323
b737,1012.7694016009127,5.806906205168589
a343,974.967596701819,2.285873373102642
e195,947.3040505079185,4.455144098925957
b744,544.1026051309395,0.9688140124890978
b748,427.7494808514224,0.6448674391297144
b734,424.9306600784028,1.8467984472199854
b788,303.8942612366156,1.05517306810708
c550,237.93062261746414,0.6529448492013915
e75l,204.6287763532307,0.7871540221684891
